School Year,State,NCES LEA ID,LEA,School,NCES SCH ID,Data Group,Data Description,Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,Academic Subject,Program Type,Outcome
2019-2020,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Shelters transitional housing,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300313,Lake Washington Institute of Technology,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Unsheltered,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,320,,,Homeless Students,All Students in LEA,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,American Indian or Alaska Native,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,9,,,Homeless Students,Asian,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,87,,,Homeless Students,Black or African American,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,82,,,Homeless Students,Children with disabilities,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,81,,,Homeless Students,English Learner,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,106,,,Homeless Students,Hispanic/Latino,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,45,,,Homeless Students,Two or more races,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,8,,,Homeless Students,Unaccompanied Youth,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,68,,,Homeless Students,White,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,164,,,Homeless Students,,Doubled-up,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,17,,,Homeless Students,,Hotels/motels,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,125,,,Homeless Students,,Shelters transitional housing,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5304230,Lake Washington School District,,,655,Homeless Students Enrolled,14,,,Homeless Students,,Unsheltered,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,9,,,Homeless Students,All Students in LEA,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,American Indian or Alaska Native,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Asian,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Black or African American,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Children with disabilities,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,English Learner,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,5,,,Homeless Students,Hispanic/Latino,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Two or more races,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Unaccompanied Youth,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,White,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,8,,,Homeless Students,,Doubled-up,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Hotels/motels,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Shelters transitional housing,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304980,Mercer Island School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Unsheltered,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,162,,,Homeless Students,All Students in LEA,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,4,,,Homeless Students,American Indian or Alaska Native,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,5,,,Homeless Students,Asian,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,39,,,Homeless Students,Black or African American,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,43,,,Homeless Students,Children with disabilities,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,46,,,Homeless Students,English Learner,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,47,,,Homeless Students,Hispanic/Latino,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,5,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,20,,,Homeless Students,Two or more races,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Unaccompanied Youth,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,42,,,Homeless Students,White,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,98,,,Homeless Students,,Doubled-up,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Hotels/motels,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,53,,,Homeless Students,,Shelters transitional housing,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5305910,Northshore School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Unsheltered,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,6,,,Homeless Students,All Students in LEA,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,American Indian or Alaska Native,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Asian,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Black or African American,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Children with disabilities,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,English Learner,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,4,,,Homeless Students,Hispanic/Latino,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Two or more races,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Unaccompanied Youth,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,White,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,4,,,Homeless Students,,Doubled-up,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Hotels/motels,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Shelters transitional housing,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300335,Rainier Prep Charter School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Unsheltered,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300342,Rainier Valley Leadership Academy,,,655,Homeless Students Enrolled,9,,,Homeless Students,All Students in LEA,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300342,Rainier Valley Leadership Academy,,,655,Homeless Students Enrolled,S,,,Homeless Students,American Indian or Alaska Native,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300342,Rainier Valley Leadership Academy,,,655,Homeless Students Enrolled,S,,,Homeless Students,Asian,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300342,Rainier Valley Leadership Academy,,,655,Homeless Students Enrolled,6,,,Homeless Students,Black or African American,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300342,Rainier Valley Leadership Academy,,,655,Homeless Students Enrolled,S,,,Homeless Students,Children with disabilities,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300342,Rainier Valley Leadership Academy,,,655,Homeless Students Enrolled,S,,,Homeless Students,English Learner,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300342,Rainier Valley Leadership Academy,,,655,Homeless Students Enrolled,S,,,Homeless Students,Hispanic/Latino,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300342,Rainier Valley Leadership Academy,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300342,Rainier Valley Leadership Academy,,,655,Homeless Students Enrolled,S,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300342,Rainier Valley Leadership Academy,,,655,Homeless Students Enrolled,S,,,Homeless Students,Two or more races,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300342,Rainier Valley Leadership Academy,,,655,Homeless Students Enrolled,S,,,Homeless Students,Unaccompanied Youth,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300342,Rainier Valley Leadership Academy,,,655,Homeless Students Enrolled,S,,,Homeless Students,White,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300342,Rainier Valley Leadership Academy,,,655,Homeless Students Enrolled,3,,,Homeless Students,,Doubled-up,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300342,Rainier Valley Leadership Academy,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Hotels/motels,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300342,Rainier Valley Leadership Academy,,,655,Homeless Students Enrolled,6,,,Homeless Students,,Shelters transitional housing,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300342,Rainier Valley Leadership Academy,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Unsheltered,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,611,,,Homeless Students,All Students in LEA,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,12,,,Homeless Students,American Indian or Alaska Native,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,29,,,Homeless Students,Asian,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,219,,,Homeless Students,Black or African American,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,149,,,Homeless Students,Children with disabilities,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,96,,,Homeless Students,English Learner,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,175,,,Homeless Students,Hispanic/Latino,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,14,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,79,,,Homeless Students,Two or more races,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,63,,,Homeless Students,Unaccompanied Youth,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,83,,,Homeless Students,White,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,432,,,Homeless Students,,Doubled-up,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,32,,,Homeless Students,,Hotels/motels,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,132,,,Homeless Students,,Shelters transitional housing,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307230,Renton School District,,,655,Homeless Students Enrolled,15,,,Homeless Students,,Unsheltered,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,35,,,Homeless Students,All Students in LEA,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,American Indian or Alaska Native,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Asian,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Black or African American,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,8,,,Homeless Students,Children with disabilities,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,10,,,Homeless Students,English Learner,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,18,,,Homeless Students,Hispanic/Latino,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,3,,,Homeless Students,Two or more races,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,3,,,Homeless Students,Unaccompanied Youth,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,13,,,Homeless Students,White,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,24,,,Homeless Students,,Doubled-up,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Hotels/motels,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,8,,,Homeless Students,,Shelters transitional housing,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5304560,Riverview School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,,Unsheltered,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5307710,Seattle School District No. 1,,,655,Homeless Students Enrolled,2667,,,Homeless Students,All Students in LEA,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307710,Seattle School District No. 1,,,655,Homeless Students Enrolled,38,,,Homeless Students,American Indian or Alaska Native,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307710,Seattle School District No. 1,,,655,Homeless Students Enrolled,144,,,Homeless Students,Asian,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307710,Seattle School District No. 1,,,655,Homeless Students Enrolled,977,,,Homeless Students,Black or African American,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307710,Seattle School District No. 1,,,655,Homeless Students Enrolled,587,,,Homeless Students,Children with disabilities,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307710,Seattle School District No. 1,,,655,Homeless Students Enrolled,704,,,Homeless Students,English Learner,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307710,Seattle School District No. 1,,,655,Homeless Students Enrolled,820,,,Homeless Students,Hispanic/Latino,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307710,Seattle School District No. 1,,,655,Homeless Students Enrolled,54,,,Homeless Students,Migratory students,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307710,Seattle School District No. 1,,,655,Homeless Students Enrolled,26,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307710,Seattle School District No. 1,,,655,Homeless Students Enrolled,329,,,Homeless Students,Two or more races,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307710,Seattle School District No. 1,,,655,Homeless Students Enrolled,241,,,Homeless Students,Unaccompanied Youth,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307710,Seattle School District No. 1,,,655,Homeless Students Enrolled,333,,,Homeless Students,White,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307710,Seattle School District No. 1,,,655,Homeless Students Enrolled,1624,,,Homeless Students,,Doubled-up,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307710,Seattle School District No. 1,,,655,Homeless Students Enrolled,84,,,Homeless Students,,Hotels/motels,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307710,Seattle School District No. 1,,,655,Homeless Students Enrolled,900,,,Homeless Students,,Shelters transitional housing,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307710,Seattle School District No. 1,,,655,Homeless Students Enrolled,59,,,Homeless Students,,Unsheltered,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,210,,,Homeless Students,All Students in LEA,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,5,,,Homeless Students,American Indian or Alaska Native,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,6,,,Homeless Students,Asian,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,37,,,Homeless Students,Black or African American,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,46,,,Homeless Students,Children with disabilities,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,65,,,Homeless Students,English Learner,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,76,,,Homeless Students,Hispanic/Latino,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,6,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,29,,,Homeless Students,Two or more races,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,17,,,Homeless Students,Unaccompanied Youth,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,51,,,Homeless Students,White,,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,164,,,Homeless Students,,Doubled-up,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,7,,,Homeless Students,,Hotels/motels,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,36,,,Homeless Students,,Shelters transitional housing,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5307920,Shoreline School District,,,655,Homeless Students Enrolled,3,,,Homeless Students,,Unsheltered,Pre-K through 12th grade,,,
2019-2020,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,47,,,Homeless Students,All Students in LEA,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,American Indian or Alaska Native,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Asian,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Black or African American,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,15,,,Homeless Students,Children with disabilities,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,12,,,Homeless Students,English Learner,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,11,,,Homeless Students,Hispanic/Latino,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Two or more races,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,S,,,Homeless Students,Unaccompanied Youth,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,31,,,Homeless Students,White,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,31,,,Homeless Students,,Doubled-up,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,4,,,Homeless Students,,Hotels/motels,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,6,,,Homeless Students,,Shelters transitional housing,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5308040,Snoqualmie Valley School District,,,655,Homeless Students Enrolled,6,,,Homeless Students,,Unsheltered,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,S,,,Homeless Students,All Students in LEA,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,S,,,Homeless Students,American Indian or Alaska Native,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,S,,,Homeless Students,Asian,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,S,,,Homeless Students,Black or African American,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,S,,,Homeless Students,Children with disabilities,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,S,,,Homeless Students,English Learner,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,S,,,Homeless Students,Hispanic/Latino,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,S,,,Homeless Students,Migratory students,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,S,,,Homeless Students,Native Hawaiian or Other Pacific Islander,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,S,,,Homeless Students,Two or more races,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,S,,,Homeless Students,Unaccompanied Youth,,Kindergarten through 12th grade,,,
2019-2020,WASHINGTON,5300343,Summit Public School: Atlas,,,655,Homeless Students Enrolled,S,,,Homeless Students,White,,Kindergarten through 12th grade,,,
